Model name,Partners involved *,Geographical scope *,Description,Update frequency,Topic *,Link to model code (if available),Main contacts,Additional documentation
Hunger Map LIVE,WFP and Alibaba,Global coverage (90 countries),Advanced statistical/ML system with a focus on large scale nowcasting. The hunger map is a platform that uses streams of public data from multiple sources to create a complex dynamic subnational portrait of world hunger. In places where the data is missing ML algorithms are used to make extrapolations.,Daily,Food security,,"<a href=""mailto:wfp.mvam@wfp.org"">wfp.mvam@wfp.org</a>","<a href=""https://hungermap.wfp.org/"">https://hungermap.wfp.org/</a>
"
Crisis Computing/ Artificial Intelligence for Digital Response,Qatar Computing Research Institute,Global coverage,Natural Language processing model which focuses on extracting disaster and emergency related information from social media messages. The objective of the model is to gain actionable information from troves of social media to inform better humanitarian response,In real time,Coordination and context,"<a href=""https://github.com/qcri""> Code repository </a>, partial code is published publicly. ",,"<ul><li><a href=""https://crisisnlp.qcri.org/"">Resources</a> and additional documentation</li>

<li><a href=""https://crisiscomputing.qcri.org/publications/"">Publications</a></li> 

<li><a href=""https://centre.humdata.org/community-qa-the-qatar-computing-research-institute/"">Crisis computing</a> collaboration with UN OCHA</li></ul>"
Asset Impact Monitoring System (AIMS) ,WFP,"Pilots in Niger, Afghanistan, Sudan, South Sudan, Tajikistan",The objective of this system is to monitor the rehabilitation of degraded landscapes using satellite imagery and remote sensing. The AIMS model mainly monitors the degraded land which is rehabilitated with with the Food Assistance for Assets  (FFA) program. This approach gives evidence based quantifiable impacts of policy and landscape changes. ,AIMS Model in development/pilot phase. Last public update was given in Oct 2018 for the 5 pilot countries. ,Geography and infrastructure,,"<a href=""https://innovation.wfp.org/about-us"">https://innovation.wfp.org/about-us</a>","<ul><li> <a href=""https://docs.wfp.org/api/documents/WFP-0000099680/download/?_ga=2.126610821.946962890.1579025626-1204141535.1578873829"">AIMS model </a>documentation</li>

<li> <a href=""https://innovation.wfp.org/project/aims"">Model overview </a> can be found here.</li></ul>"
510 Typhoon Model,Netherlands Red Cross - 510,The Philippines,"Predictive model to identify high priority areas in the wake of a natural disaster. The model uses a large numbers of factors to assess this including but not limited to socio-economic factors, housing types, impact data and administrative boundaries. ",One fully validated model for Philippines available. Pilots in development to test model scale ability in Mozambique.,Coordination and context,"<a href="" https://github.com/rodekruis/Typhoon-Impact-based-forecasting-model/blob/master/models/four_models_bootstraping.R""> Code repository</a>, including all the source code scripts to run the model. ","<a href=""mailto:support@510.global"">support@510.global</a>","<ul><li><a href=""https://www.510.global/philippines-typhoon-haima-priority-index/"">Modeling Details </a></li> included in the press release


<li> <a href=""https://data.humdata.org/dataset/philippines-typhoon-haima-priority-index"">Output datasets</a> and additional details for other typhoons such as Haiyan, Rammasun, Hagupit and Glenda also available)</li></ul>"
Mongolia Dzud model,National Agency for Meteorology and Environmental Monitoring (NAMEM),Mongolia,"Each year, National Agency for Meteorology and Environmental Monitoring (NAMEM) publishes Dzud risk map which uses summer condition, pasture carrying capacity, livestock number, anomalous precipitation and temperature, snow depth, biomass, drought index, temperature forecast etc. to predict which regions may experience severe winter condition.",Yearly,Coordination and context,,"<a href=""mailto:https://media.ifrc.org/ifrc/fba/"">https://media.ifrc.org/ifrc/fba/</a>","<a href=""https://t.co/1KAe9AtRDs?amp=1"">https://t.co/1KAe9AtRDs?amp=1</a>"
REACH flood susceptibility model,REACH,Yemen,"A model is build using high resolution data sets to account for topographical features, normalized vegetation index (NDVI), rainfall, drainage,  land cover and soil type. These factors are combined in a weighted linear fashion to compute an area's flood susceptibility (not risk). ",Static model updated last in June 2019,Affected areas,,"<a href=""mailto:yemen@reach-initiative.org"">yemen@reach-initiative.org</a>","<ul><li><a href=""https://www.reachresourcecentre.info/country/yemen/cycle/1302#cycle-1302"">https://www.reachresourcecentre.info/country/yemen/cycle/1302#cycle-1302</a></li>


<li><a href=""https://www.impact-repository.org/document/reach/8a9165b9/reach_yem_methods_shelter_floodrisk_v9_sept2019.pdf"">https://www.impact-repository.org/document/reach/8a9165b9/reach_yem_methods_shelter_floodrisk_v9_sept2019.pdf</a></li></ul>

"
Global Displacement Risk Model,"IDMC, UNDRR, ETH Zurich",Global Coverage,"The model combines probabilistic analysis of events recorded in national loss databases (retrospective risk) with probabilistic risk estimates for low-frequency, high-impact events (prospective risk).
Prospective disaster displacement risk is expressed as a function of hazard, exposure and vulnerability:
Risk = Exposure x Hazard x Vulnerability
The prospective risk profile is calculated using hazard scenarios provided by a wide range of partners. These events represent all of the possible disasters that could affect a country over different return periods. For each grid cell in the exposure map, which has a resolution of between 1km x 1km in coastal areas to 5km x 5km inland, the expected impact of a hazard is calculated using vulnerability curves to determine an expected level of damage to homes and other structures based on the hazard’s intensity. Whenever the simulated damage to a home is more than 55 per cent, it is considered uninhabitable and the household displaced.","Model developed in 2018 using from the 2015 Global Assessment Report (<a href=""https://www.preventionweb.net/english/hyogo/gar/2015/en/home/ "">https://www.preventionweb.net/english/hyogo/gar/2015/en/home/</a> )",Affected people,,"<a href=""info@idmc.ch"">info@idmc.ch</a>","<ul><li>Main publication: <a href=""https://www.internal-displacement.org/publications/global-disaster-displacement-risk-a-baseline-for-future-work"">https://www.internal-displacement.org/publications/global-disaster-displacement-risk-a-baseline-for-future-work</a></li>
<li>Visualisation dashboard : <a href=""https://www.internal-displacement.org/database/global-displacement-risk-model"">https://www.internal-displacement.org/database/global-displacement-risk-model</a></li></ul> "
Pastoralist Livelihood and Displacement Simulator,"IDMC, Climate Interactive","Kenya, Ethiopia, Somalia","System dynamics (a modelling technique often used to analyse population dynamics and the behaviour of complex systems) is used to understand displacement dynamics of pastoralists in the Horn of Africa. The model formalises the causal relationships and drivers of pastoralist displacement, providing a decision support tool to explore the impact of specific policies and interventions. The model user interface is designed to answer a decision-maker’s “what if?” questions.",Developed in 2015,Affected people,,"<a href=""info@idmc.ch"">info@idmc.ch</a>","<a href=""https://www.internal-displacement.org/sites/default/files/publications/documents/201405-horn-of-africa-technical-report-en.pdf"">https://www.internal-displacement.org/sites/default/files/publications/documents/201405-horn-of-africa-technical-report-en.pdf</a>"
Global Cholera Risk Model (GCRM),University of Florida and University of Maryland,Global coverage,"The algorithm uses precipitation, temperature, and population data from different data sources to project the risk of a cholera outbreak 4 weeks later. The risk values represent the conditions under which Vibrio’s are more likely to grow. Cholera risk increases if a region experiences a two month above average air temperature, followed by one month of above average precipitation. These two conditions must be accompanied by damage to WASH infrastructure, further facilitating interaction of cholera bacteria with humans and thereby leading to an outbreak.","Daily, weekly and monthly updates available",Affected people,,"<a href=""https://www.essie.ufl.edu/environmental-engineering-sciences/"">https://www.essie.ufl.edu/environmental-engineering-sciences/</a>","<ul><li><a href=""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0137828"">Satellite based assessment</a> of Hydroclimatic Conditions Related to Cholera in Zimbabwe</li>

<li><a href=""https://www.ncbi.nlm.nih.gov/pubmed/28749774"">Cholera in Haiti</a>  following Hurricane Matthew</li>


<li><a href=""https://ascelibrary.org/doi/full/10.1061/%28ASCE%29WR.1943-5452.0000929"">Risk of Cholera</a> lessons Learned from the 2015 Nepal Earthquake</li></ul>"
PRIO Conflict Prediction ,Peace Research Institute Oslo (PRIO),Global,"Modelling effort that predicts internal armed conflict in a country. The scope of the study ranges from 1970 to 2050. The model uses a wide range of predictors from conflict history, development indicators of the country, neighborhood stability. The model subsequently goes through extensive testing and validation exercises.",Last update in Jan 2013,Conflict,http://folk.uio.no/hahegre/Papers/PredictionISQ_Final.pdf,,"https://www.prio.org/Publications/Publication/?x=4978

https://www.prio.org/Projects/Project/?x=1401"
ViEWS: Violence Early-Warning System,Upsalla University - Department of Peace and Conflict Research,Africa,"An early warning system to track and predict three classes of political violence. The model can predict armed conflict involving states and rebel groups, armed conflict between non-state actors, and violence against civilians. More importantly the model can disaggregate results into three different levels of analysis. We can analyse violence at national level, subnational level and actor level. The model takes into account a large array of input variable including but not limited to history of conflict, political institute, economic development, temporal factors, demography, natural resources and proximity of conflict.  ",Every month,Conflict,https://www.pcr.uu.se/research/views/methodology/,views@pcr.uu.se,"Main Website - https://www.pcr.uu.se/research/views/
Current forecasts - https://www.pcr.uu.se/research/views/current-forecasts/

Peer reviewed publication - https://www.pcr.uu.se/digitalAssets/653/c_653796-l_1-k_croicuhegrekgi.pdf
https://www.pcr.uu.se/digitalAssets/653/c_653796-l_1-k_pko_prediction_preprint_main.pdf"
Conflict Early Warning and Response Mechanism (CEWARN),Intergovernmental Authority on Development (IGAD),"Djibouti, Eritrea, Ethiopia, Kenya, Somalia, South Sudan, Sudan, Uganda","Information of conflicts, migrants and natural disasters is shared between participating countries in a transparent manner. Thus information about potentially violent situations are jointly analysed to develop case scenarios and optimal responses. The analysis, data and response options are also communicated  to all IGAD member states ",,"Conflict
Migration","
<a href=""https://micicinitiative.iom.int/sites/default/files/document/micic_guidelines_english_web_13_09_2016.pdf"">Model documentation</a> and guideline for use.
",,"
<a href=""https://micicinitiative.iom.int/micicinitiative/conflict-early-warning-and-response-mechanism-cewarn"">Official Website</a>
"
CrisisWatch,The International Crisis Group,Global coverage,"Crisis watch is a ""nowcasting"" tool that is updated every month to get an overview of security and political developments across 80 countries in almost real time. The tool provides a bird eye view of ongoing conflict trends, escalations and developmental impact for all decision makers. ",1 month ,Conflict,,,"<ul>
  <li><a href = ""https://www.crisisgroup.org/crisiswatch"">Official Website </a> </li>
  <li><a href =""https://www.crisisgroup.org/about-crisiswatch""> Additional details</a> </li>
</ul>  "
The Early Warning Project ,Simon-Skjodt Center and Dartmouth College,Global coverage,The statistical model of this project computes risk of mass killing and genocide by studying previous episodes (1945- present) to identify predictors and risk factors. Various models are cross validated and the best performing ones are then used to make predictions for the next two years. The output of a model is an estimated risk (of an onset of a mass killing) and the country's vulnerability rank. ,New predictions made every 2 years,Conflict,https://earlywarningproject.ushmm.org/methodology-statistical-model,,"Main Website - https://earlywarningproject.ushmm.org/

https://earlywarningproject.ushmm.org/map"
OCHA-Bucky,"Johns Hopkins University Applied Physics Laboratory, UN OCHA Centre for Humanitarian Data","Completed: Afghanistan, Democratic Republic of the Congo, Iraq, Somalia, South Sudan, Sudan.","The OCHA-Bucky model consists of a series of adjustments to an existing COVID-19 model (JHUAPL-Bucky) that was developed as part of the Centers for Disease Control and Prevention (CDC) COVID-19 Mathematical Modeling Forecasting Ensemble. OCHA-Bucky is a collection of coupled and stratified SEIR models. Since COVID-19 exhibits heavily age-dependent properties, wherein a majority of severe cases are in older individuals, SEIR models are stratified via the age demographic structure of a geographic region to obtain accurate estimates of case severity and deaths. Additionally, to model the spatial dynamics of COVID spread, we consider a set of SEIR sub-models at the smallest geographic level for which we have appropriate data. For a full description of the methodology please refer to the OCHA-Bucky methodology paper.
",The Centre is producing bi-weekly reports with projections and observations for each country. ,Affected people,"<a href=""https://github.com/OCHA-DAP/pa-ocha-bucky"">Code repository</a>, including all the source code scripts necessary to run the model.
","<a href=""leonardo.milano@un.org"">leonardo.milano@un.org</a>","<ul>
<li>
<a href=""https://github.com/OCHA-DAP/pa-ocha-bucky"">Code repository</a>, including all the source code scripts necessary to run the model.
</li>
<li>
<a href=""https://ocha-bucky.readthedocs.io/en/latest/"">Technical documentation</a> and <a href=""https://ocha-bucky.readthedocs.io/en/latest/faq.html""> FAQs</a>, explaining how to configure and run the source code in the repository.
</li>
<li>
<a href=""https://centre.humdata.org/ocha-bucky"">Methodology paper</a>, providing details on model assumptions and the main equations.
</li>
<li>
<a href=""https://drive.google.com/drive/u/1/folders/16FR8owccpfIm-tspdAa4YTEwPoZKHtvI"">Biweekly reports</a> for six countries
</li>
<li>
<a href=""https://drive.google.com/file/d/14DwkLTtrKOMcFnmP0ev7VKXC5JDgGthg/view?usp=sharing"">OCHA-Bucky model card</a> according to the <a href=""https://centre.humdata.org/peer-review-framework-2020"">Centre's Peer Review Framework.</a> 
</li>
</ul>
"
Imperial College London,"Imperial College London
WHO Collaborating Centre for Infectious Disease Modelling
MRC Centre for Global Infectious Disease Analysis
Abdul Latif Jameel Institute for Disease and Emergency Analytics","Pilot : Great Britain
Global coverage","Stochastic individual-based simulation model that uses population movements between households, schools, workplaces, and the community to estimate transmission. Healthcare demand and the effects of non-pharmaceutical interventions are estimated. 
Key Results: Total number of infections; expected deaths; hospitalizations; scenario building",2 weeks,Affected people,https://github.com/mrc-ide/squire,"Patrick GT Walker
Charles Whittaker
Oliver Watson","https://mrc-ide.github.io/global-lmic-reports/

https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/covid-19/report-12-global-impact-covid-19/

https://www.imperial.ac.uk/media/imperial-college/medicine/sph/ide/gida-fellowships/Imperial-College-COVID19-NPI-modelling-16-03-2020.pdf"
Robert Verity study,Imperial College London,China,"A study of age-stratified data from mainland China that estimates duration from onset-of-symptoms to death or hospital discharge, and case fatality rate.",Static Model ,Affected people,https://github.com/mrc-ide/COVID19_CFR_submission,"Robert Verity: r.verity@imperial.ac.uk
Lucy C Okell: l.okell@imperial.ac.uk
Ilaria Dorigatti: i.dorigatti@imperial.ac.uk",https://www.medrxiv.org/content/10.1101/2020.03.09.20033357v1.full.pdf+html
COVID Act Now,"Georgetown University Center for Global Health Science and Security, Stanford University Clinical Excellence Research Center, Grand Rounds",United States,"Open source model based on SEIR model used to provide state-specific projections of infection rates and ICU bed usage. Subnational projections for USA are reported. Dashboards for data visualization and APIs to explore all datasets available. 
Key Results: Total number of infections; expected deaths; hospitalizations; scenario building",Data and estimates updated daily,Affected people,"<a href="" https://github.com/covid-projections/covid-projections""> Code repository </a>, including all the source code scripts necessary to run the model.","<a href=""info@covidactnow.org""> info@covidactnow.org</a>","<ul>
  <li><a href = ""https://www.covidactnow.org/"">Official Website </a> </li>
  <li><a href =""https://docs.google.com/document/d/1ETeXAfYOvArfLvlxExE0_xrO5M4ITC0_Am38CRusCko/preview""> References</a> and links to additional documentation</li>
  <li><a href = ""https://docs.google.com/presentation/d/1XmKCBWYZr9VQKFAdWh_D7pkpGGM_oR9cPjj-UrNdMJQ/edit#slide=id.g875b45be96_0_301"">Data sources</a> and project outline </li>
</ul>  

"
COVID-19 Projections,Institute for Health Metrics and Evaluation,Argentina; Belgium; Bolivia; Brazil; Bulgaria: Canada; Chile; Colombia; Croatia; Cuba; Cyprus; Czechia; Denmark; Dominican Republic; Ecuador; Egypt; Estonia; Finland; Germany; Greece; Honduras; Hungary; Iceland; Ireland; Israel; Italy; Japan ; Latvia; Lithuania; Luxembourg; Malaysia; Mexico; Netherlands; Norway; Panama; Peru; Puerto Rico ; S. Korea; Moldova; Romania; Russia; Serbia; Slovenia; Spain; Sweden; Turkey; Ukraine; United Kingdom; USA,"Mixed effects nonlinear regression framework  is employed by the authors to estimate the trajectory of cumulative and daily death rate. Additional model parameters such as implementation of social distancing measures are included. The study is supported by additional evidence from mobile phone data. Additional simulations to project hospital admissions, ICU admissions, length of stay, and ventilator need are included. 
Key Results: Total number of infections; expected deaths; hospitalizations; scenario building",Revised estimates released every 2-3 days,Affected people,"<a href=""http://www.healthdata.org/covid/faqs#differences%20in%20modeling""> Model details</a>","<a href=""media@healthdata.org"">media@healthdata.org</a>","<ul>
  <li><a href = ""https://covid19.healthdata.org/united-states-of-america"">Official Website </a> </li>
  <li><a href =""http://www.healthdata.org/covid/publications""> Published research</a> papers and links to additional documentation</li>
  <li><a href = ""https://www.medrxiv.org/content/10.1101/2020.04.21.20074732v1.article-metrics"">Pre-print research</a> article </li>
</ul>  
"
Multi-Model Outbreak Decision Support (MMODS),"MIDAS Coordination Center
Penn State University",Global,"This is a decision theoretic framework that takes in results from multiple individual models to produce a unified set of projections and recommendations. By taking into account multiple modelling efforts decision makers can avoid cognitive biases, and insights from many different modeling approaches can be included.",Static Model ,Affected people,https://science.sciencemag.org/content/368/6491/577,Katriona Shea - k-shea@psu.edu,https://midasnetwork.us/mmods/
Reich Lab COVID-19 Forecast Hub,"MIDAS Coordination Center
University of Massachusetts at Amherst",United States,The ensemble forecast dashboard combines multiple models; unconditional on particular interventions being in place with those conditional on certain social distancing measures continuing. 21+ different models with 4 week-ahead forecasts ahead are included in the ensemble and their weekly predictions are visualized on the dashboard.,Data and estimates updated daily,Affected people,https://github.com/reichlab/covid19-forecast-hub,Dr. Nick Reich - nick@schoolph.umass.edu,https://reichlab.io/covid19-forecast-hub/
Nowcasting model for real time epidemic tracking ,"MIDAS Coordination Center
Harvard T.H. Chan School of Public Health
Centers for Disease Control and Prevention",Global,"Nowcasting model here attempts to estimate the complete case counts for a given reporting date, using a time series of case reporting that is known to be incomplete due to reporting delays. The model uses  Bayesian Smoothing, accounts for serial autocorrelation and gives output estimates that are smooth and accurate in multiple disease settings.",Depending on input time series,Affected people,https://github.com/sarahhbellum/NobBS,"Sarah F. McGough - sfm341@mail.harvard.edu 
Nicolas A. Menzies - nmenzies@hsph.harvard.edu",https://www.biorxiv.org/content/10.1101/663823v1.full
Stochastic model for the transmission of 2019-nCov in Wuhan,"Center for the Ecology of Infectious Diseases, University of Georgia","Wuhan, China","Stochastic SEIR based model that includes additional time-varying rates of case detection, patient isolation, and case notification parameters. By using forward simulation, the model enables the generation of predictions about the future trajectory of the epidemic under alternative scenarios for containment. The model parameters have been calibrated using multiple different input sources.
Key Results: Total number of infections; scenario building",Static Model ,Affected people,"https://github.com/CEIDatUGA/ncov-wuhan-stochastic-model
https://www.covid19.uga.edu/stochastic-model.html","John M. Drake
Pejman Rohani",https://www.covid19.uga.edu/stochastic.html
Scenario analysis for the transmission of COVID‑19,"Center for the Ecology of Infectious Diseases, University of Georgia","Georgia,United States","Stochastic SEIR based model which is employed for location- Georgia USA for scenario building under various interventions such as increased social distancing, increased hygiene, against returning to normal.  
Key Results: Total number of infections; expected deaths; hospitalizations; scenario building",Data and estimates updated daily,Affected people,"https://www.covid19.uga.edu/stochastic-GA.html
https://github.com/CEIDatUGA/COVID-GA-model","John M. Drake
Andreas Handel",https://www.covid19.uga.edu/stochastic-fitting-georgia-suplement.html
Gravity model for spread of 2019-nCov in China,"Center for the Ecology of Infectious Diseases, University of Georgia",China,"Gravity-based model the risk of spatial spread of the 2019-nCov at the admin2 (prefecture) level in China, and to determine the efficacy of quarantines and travel restrictions imposed in Wuhan and other prefectures.",Static Model ,Affected people,"<a href="" https://github.com/CEIDatUGA/CoronavirusSpatial"">Code repository</a>, including all the source code scripts necessary to run the model.",John M. Drake,https://www.covid19.uga.edu/spatial-china.html
Probability of Widespread Transmission,"Center for the Ecology of Infectious Diseases, University of Georgia",NA,"The model attempts to project the potential size of the COVID-19 outbreak by repurposing a previously developed Ebola model. This model can provide global ballpark figures of worse, worst, average case scenarios. Ongoing work on this model includes parametrization to have more region specific insight. 
Key Results: Total number of infections; scenario building",Static Model ,Affected people,https://github.com/CEIDatUGA/ncov-coupled-outbreaks,"Andrew W. Park
John M. Drake","https://www.covid19.uga.edu/final-size-supplement.html

https://link.springer.com/chapter/10.1007/978-3-319-40413-4_3"
Mass Testing and interventions impact,"Center for the Ecology of Infectious Diseases, University of Georgia",China,This model assesses the impact of a symptom-based mass screening and testing intervention during a novel infectious disease outbreak in China. ,Static Model ,Affected people,https://www.covid19.uga.edu/mass_testing.html,"Yang Ge - ygechn@gmail.com
Brian McKay
Shengzhi Sun",https://www.medrxiv.org/content/10.1101/2020.02.20.20025973v2
Nowcasting the size of COVID 19,"Center for the Ecology of Infectious Diseases, University of Georgia",United States,"This model aims to nowcast the number of latent and symptomatic infections from a point in the past forward to the present. The authors accomplish this by fitting a time varying autoregressive model, and then forecast the fitted model curve using an exponential smoothing (ETS) model. The model works to determine the ratio of detected cases to the true number of cases i.e the ascertainment rate.
Key Results: Total number of infections",Data and estimates updated daily,Affected people,https://github.com/CEIDatUGA/ncov-nowcast,John M. Drake,https://www.covid19.uga.edu/nowcast.html
